Marque;"Libellé modèle";Modèle;Groupe;"Description Commerciale";Energie;Carrosserie;Cylindrée;Gamme;"Puissance fiscale";"Puissance maximale";"Puissance nominale électrique";"Poids à vide";"Rapport poids-puissance";"Type de boite";"Nombre rapports";"Conso basse vitesse Min";"Conso basse vitesse Max";"Conso moyenne vitesse Min";"Conso moyenne vitesse Max";"Conso haute vitesse Min";"Conso haute vitesse Max";"Conso T-haute vitesse Min";"Conso T-haute vitesse Max";"Conso vitesse mixte Min";"Conso vitesse mixte Max";"Conso elec Min";"Conso elec Max";"Autonomie elec Min";"Autonomie elec Max";"Autonomie elec urbain Min";"Autonomie elec urbain Max";"CO2 basse vitesse Min";"CO2 basse vitesse Max";"CO2 moyenne vitesse Min";"CO2 moyenne vitesse Max";"CO2 haute vitesse Min";"CO2 haute vitesse Max";"CO2 T-haute vitesse Min";"CO2 T-haute vitesse Max";"CO2 vitesse mixte Min";"CO2 vitesse mixte Max";"Essai CO2 type 1";"Essai HC";"Essai Nox";"Essai HCNox";"Essai particules";"Masse OM Min";"Masse OM Max";Bonus-Malus;"Barème Bonus-Malus";"Prix véhicule"
FORD;FOCUS;FOCUS;FORD;"FOCUS 1.0 EcoBoost Hybrid (125ch) mHEV BVM6 5P";"ESS+ELEC HNR";BERLINE;999;"MOYENNE INFERIEURE";6;91,900;7,200;1269;0,07;MECANIQUE;6;6,296;7,171;4,732;5,681;4,414;5,318;5,338;6,407;5,057;6,025;;;;;;;142,54;162,35;106,99;128,47;99,76;120,24;120,77;144,98;114,38;136,30;0,351;0,051;0,021;;;1344;1500;"Neutre 0";11900;26333
B.M.W.;"SERIE 1";120;AUTRES;120i;ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1390;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1465;1465;Malus;540;41488
MINI;MINI;MINI;B.M.W.;"MINI Cooper Hatch 3P (F56)";ESSENCE;BERLINE;1499;INFERIEURE;7;100,000;;1150;0,09;MECANIQUE;6;7,636;7,914;5,264;6,111;4,652;5,513;5,357;6,667;5,424;6,364;;;;;;;173,36;179,78;119,36;138,74;105,42;125,12;121,47;151,41;123,00;144,50;0,288;0,018;0,012;;;1225;1225;"Neutre 0";;28857
B.M.W.;M3;M3;AUTRES;"M3 Competition";ESSENCE;BERLINE;2993;SUPERIEURE;41;375,000;;1730;0,22;AUTOMATIQUE;8;14,903;15,200;9,763;9,915;8,194;8,412;8,836;9,049;9,635;9,848;;;;;;;338,94;345,85;221,92;225,53;186,20;191,31;200,81;205,80;219,00;224,00;0,206;0,013;0,017;;;1805;1805;Malus;40050;102000
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.0 Flexifuel (95ch) S&S BVM6";SUPERETHANOL;BERLINE;999;INFERIEURE;5;69,900;;1114;0,06;MECANIQUE;6;8,870;10,145;6,612;7,847;6,035;7,363;7,505;8,962;7,052;8,399;;;;;;;145,35;166,21;108,30;128,48;98,82;120,55;122,96;146,78;115,51;137,55;0,393;0,036;0,010;;;1189;1307;"Neutre 0";;23090
MINI;MINI;CLUBMAN;B.M.W.;"MINI One Clubman (F54)";ESSENCE;BREAK;1499;INFERIEURE;5;75,000;;1360;0,06;AUTOMATIQUE;7;8,047;8,358;5,806;6,350;5,142;5,657;6,202;6,806;6,040;6,565;;;;;;;183,38;190,49;132,25;144,68;117,10;128,88;141,30;155,08;137,60;149,60;0,089;0,014;0,009;;;1435;1435;Malus;280;32475
B.M.W.;"SERIE 1";128;AUTRES;128ti;ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";16;195,000;;1445;0,13;AUTOMATIQUE;8;9,781;10,255;6,790;7,378;5,811;6,505;6,663;7,647;6,841;7,587;;;;;;;223,51;234,30;155,12;168,52;132,74;148,54;152,22;174,67;156,30;173,30;0,102;0,009;0,016;;;1520;1520;Malus;1901;47600
KIA;STONIC;STONIC;HYUNDAI;"STONIC 1.0 essence T-GDi (120ch) MHEV iBVM6 GT-line";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";998;INFERIEURE;6;88,300;7,940;1150;0,08;MECANIQUE;6;6,761;7,000;4,841;5,201;4,266;4,678;5,349;6,182;5,099;5,627;;;;;;;153,85;159,26;110,11;118,28;97,01;106,39;121,68;140,63;116,00;128,00;0,079;0,016;0,025;;;1225;1225;"Neutre 0";11900;25270
B.M.W.;"SERIE X";X2;AUTRES;"X2 M35i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";19;225,000;;1615;0,14;AUTOMATIQUE;8;10,422;10,687;7,367;8,066;6,401;7,002;7,360;8,116;7,474;8,105;;;;;;;237,55;244,15;167,87;184,21;145,84;159,89;167,71;185,35;170,30;185,10;0,120;0,009;0,019;;0,001;1690;1690;Malus;4818;58700
SKODA;KAROQ;KAROQ;VGF;"Karoq Style 1.5 TSI (150ch) DSG7 4x2 classe C";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1354;0,08;AUTOMATIQUE;7;8,055;8,514;6,149;6,789;5,467;6,122;6,586;7,485;6,347;7,060;;;;;;;181,79;192,16;138,71;153,18;123,29;138,11;148,59;168,89;143,20;159,30;0,126;0,014;0,010;;;1429;1429;Malus;650;37898
B.M.W.;"SERIE 4";420;AUTRES;"420d xDrive Gran Coupe";"GAZ+ELEC HNR";BERLINE;1995;"MOYENNE SUPERIEURE";10;140,000;;1760;0,08;AUTOMATIQUE;8;6,587;7,101;5,014;5,943;4,443;5,094;4,987;5,943;5,038;5,836;;;;;;;172,66;186,11;131,38;155,72;116,39;133,44;130,66;155,71;132,00;152,90;0,087;;0,019;0,045;;1835;1835;Malus;12262;58783
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive18d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;8;110,000;;1810;0,06;AUTOMATIQUE;8;6,508;7,213;5,161;6,336;4,920;5,774;5,949;7,126;5,546;6,560;;;;;;;170,46;188,94;135,11;165,91;128,78;151,17;155,79;186,67;145,20;171,80;0,159;;0,023;0,061;;1885;1885;Malus;12775;55100
KIA;SPORTAGE;SPORTAGE;HYUNDAI;"SPORTAGE 1.6 Diesel CRDi (136ch) ISG MHEV DCT7";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";7;100,000;7,940;1527;0,07;AUTOMATIQUE;7;5,208;5,464;4,684;5,285;4,350;4,502;5,558;5,946;4,961;5,302;;;;;;;136,38;143,15;122,62;138,45;113,87;117,90;145,57;155,79;129,90;138,90;0,130;;0,014;0,045;;1602;1602;Malus;11906;40423
MERCEDES;"CLASSE E";"E 200";AUTRES;"E 220 d";"GAZ+ELEC HNR";BREAK;1993;LUXE;11;147,000;10,000;1850;0,08;AUTOMATIQUE;9;6,545;7,061;4,926;5,468;4,161;4,619;4,444;5,368;4,735;5,383;;;;;;;171,43;184,97;129,00;143,22;108,96;120,98;116,39;140,60;124,00;141,00;0,054;;0,006;0,013;;1925;1925;Malus;13161;58600
KIA;NIRO;NIRO;HYUNDAI;"Niro PHEV 1.6 essence Gdi (105ch) ISG / Electrique (83ch) DCT6 Syst. Hybride rechargeable (183ch)";"ELEC+ESSENC HR";"TS TERRAINS/CHEMINS";1580;"MOYENNE INFERIEURE";5;77,200;20,700;1519;0,05;AUTOMATIQUE;6;;;;;;;;;0,820;1,013;129,000;140,000;65,000;59,000;84,000;76,000;;;;;;;;;18,56;23,03;0,037;0,008;0,006;;;1594;1594;"Bonus 1000";;42050
RENAULT;CLIO;CLIO;RENAULT;"CLIO (94ch+24Kw)";"ESS+ELEC HNR";BERLINE;1598;INFERIEURE;5;69,000;24,000;1266;0,05;AUTOMATIQUE;6;4,115;4,790;3,695;4,344;3,681;4,364;4,767;5,738;4,127;4,904;;;;;;;92,64;107,87;83,11;97,77;82,80;98,21;107,40;129,35;92,90;110,45;0,416;0,023;0,005;;;1341;1341;"Neutre 0";11900;25133
B.M.W.;"SERIE 3";320;AUTRES;"320d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;10;140,000;;1725;0,08;AUTOMATIQUE;8;6,494;7,188;5,084;6,077;4,690;5,371;5,367;6,285;5,251;6,082;;;;;;;170,35;188,54;133,32;159,39;122,97;140,86;140,76;164,85;137,70;159,50;0,049;;0,018;0,043;;1800;1800;Malus;11913;56088
B.M.W.;"SERIE 2";218;AUTRES;"218i Gran CoupÃ©";ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1350;0,07;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1425;1425;Malus;100;38363
B.M.W.;"SERIE 4";440;AUTRES;"M440i xDrive Gran Coupe";"ESS+ELEC HNR";BERLINE;2998;"MOYENNE SUPERIEURE";26;275,000;;1825;0,15;AUTOMATIQUE;8;11,929;12,251;8,149;8,671;6,798;7,516;7,330;8,231;7,945;8,635;;;;;;;271,40;278,73;185,34;197,21;154,58;170,91;166,69;187,19;180,70;196,40;0,099;0,016;0,010;;;1900;1900;Malus;12962;71000
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive20i";ESSENCE;"TS TERRAINS/CHEMINS";1998;"MOYENNE SUPERIEURE";9;131,000;;1470;0,09;AUTOMATIQUE;7;9,111;9,800;6,440;7,150;5,323;6,276;6,423;7,637;6,445;7,406;;;;;;;207,59;223,19;146,67;162,75;121,21;142,83;146,29;173,86;146,80;168,60;0,159;0,021;0,013;;;1545;1545;Malus;1386;46817
"ALFA ROMEO";STELVIO;STELVIO;STELLANTIS;"STELVIO 2.2 Diesel (210ch) AT8 Q4";GAZOLE;"TS TERRAINS/CHEMINS";2143;SUPERIEURE;12;154,000;;1745;0,09;AUTOMATIQUE;8;7,607;8,030;5,795;6,478;5,070;5,739;5,951;6,642;5,868;6,515;;;;;;;199,40;210,52;151,89;169,83;132,87;150,45;155,97;174,12;153,80;170,80;0,040;;0,044;0,048;0,001;1820;1820;Malus;3752;64717
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON T-GDi 150 DCT-7 Hybrid 48V Crea/Exec";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";8;110,100;7,940;1491;0,07;AUTOMATIQUE;7;7,766;7,992;5,972;6,354;5,335;5,680;6,800;7,063;6,308;6,616;;;;;;;175,99;181,13;135,17;143,85;120,69;128,50;154,02;159,99;142,83;149,81;0,418;0,043;0,032;;;1566;1566;Malus;11921;40300
PORSCHE;"911 CARRERA 4 GTS";911;VGF;"911 CARRERA 4 GTS CABRIOLET";ESSENCE;CABRIOLET;2981;LUXE;37;353,000;;1665;0,21;AUTOMATIQUE;8;18,444;18,973;10,021;10,988;8,711;9,733;9,447;10,664;10,535;11,549;;;;;;;418,61;430,59;227,35;249,27;197,58;220,77;214,31;241,90;239,00;262,00;0,133;0,012;0,014;;;1740;1740;Malus;40000;171806
PEUGEOT;508;508;AUTRES;"508 SW (181ch+30Kw)";"ELEC+ESSENC HR";BREAK;1598;"MOYENNE SUPERIEURE";10;133,000;30,000;1745;0,08;AUTOMATIQUE;8;;;;;;;;;1,028;1,459;144,000;164,000;68,000;55,000;76,000;60,000;;;;;;;;;23,26;33,00;0,291;0,014;0,004;;;1820;1820;"Bonus 1000";;49833
DS;"DS 4";4;STELLANTIS;"4 (181ch)";ESSENCE;BERLINE;1598;"MOYENNE INFERIEURE";10;133,000;;1420;0,09;AUTOMATIQUE;8;8,276;9,307;6,461;7,260;5,552;6,381;6,488;7,562;6,432;7,369;;;;;;;187,35;210,56;146,12;164,07;125,47;144,10;146,74;170,93;145,47;166,54;0,519;0,021;0,034;;;1495;1495;Malus;740;42233
B.M.W.;"SERIE 1";118;AUTRES;118i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1290;0,08;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1365;1365;Malus;240;35210
B.M.W.;"SERIE 4";440;AUTRES;"M440d xDrive Cabriolet";"GAZ+ELEC HNR";CABRIOLET;2993;"MOYENNE SUPERIEURE";22;250,000;;1980;0,13;AUTOMATIQUE;8;10,083;10,614;5,843;6,431;4,990;5,616;5,334;6,241;5,964;6,669;;;;;;;264,09;277,99;152,94;168,37;130,57;147,00;139,59;163,37;156,10;174,60;0,114;;0,033;0,047;0,001;2055;2055;Malus;14484;78250
VOLKSWAGEN;CADDY;CADDY;VGF;"CADDY 5 Caddy/Life/Style 2.0 TDI (122ch) Boite DSG 7 vit";GAZOLE;COMBISPACE;1968;INFERIEURE;6;90,000;;1646;0,05;AUTOMATIQUE;7;6,541;7,104;4,749;5,409;4,182;4,966;4,977;6,111;4,894;5,747;;;;;;;171,53;186,30;124,51;141,83;109,63;130,20;130,48;160,25;128,30;150,70;0,023;;0,038;0,059;;1721;1721;Malus;330;42483
B.M.W.;"SERIE 2";220;AUTRES;"220i Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1430;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1505;1505;Malus;740;44133
B.M.W.;"SERIE X";X4;AUTRES;"X4 M40d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;22;250,000;;2020;0,12;AUTOMATIQUE;8;8,918;10,291;6,453;7,043;5,655;6,456;6,358;7,476;6,501;7,448;;;;;;;233,54;269,53;168,94;184,38;148,01;169,00;166,43;195,73;170,20;195,00;0,122;;0,038;0,052;0,001;2095;2095;Malus;14903;79750
RENAULT;KANGOO;KANGOO;RENAULT;"KANGOO (130ch)";ESSENCE;COMBISPACE;1332;INFERIEURE;7;96,000;;1475;0,07;MECANIQUE;6;8,030;8,558;6,276;6,977;5,689;6,658;7,091;8,665;6,618;7,688;;;;;;;181,83;193,77;142,02;157,88;128,70;150,63;160,53;196,18;149,78;174,01;0,291;0,012;0,011;;;1550;1550;Malus;2049;28900
B.M.W.;"SERIE X";X4;AUTRES;"X4 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13079;62150
B.M.W.;"SERIE X";X3;AUTRES;"X3 xDrive20i";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1998;SUPERIEURE;10;135,000;;1800;0,08;AUTOMATIQUE;8;9,723;10,613;7,321;8,280;6,389;7,507;7,510;8,926;7,421;8,582;;;;;;;221,13;241,35;166,44;188,24;145,21;170,63;170,73;202,94;168,70;195,10;0,157;0,013;0,017;;;1875;1875;Malus;12696;54800
B.M.W.;"SERIE 5";530;AUTRES;"530d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;17;210,000;;1925;0,11;AUTOMATIQUE;8;8,420;9,136;5,710;6,483;4,971;5,722;5,380;6,350;5,726;6,555;;;;;;;220,53;239,26;149,49;169,74;130,10;149,77;140,84;166,25;149,90;171,60;0,112;;0,052;0,073;;2000;2000;Malus;13938;72588
B.M.W.;"SERIE X";X2;AUTRES;"X2 xDrive20d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";10;140,000;;1605;0,09;AUTOMATIQUE;8;6,505;7,685;5,188;6,378;4,740;5,555;5,402;6,223;5,301;6,243;;;;;;;170,49;201,44;135,92;167,12;124,17;145,52;141,55;163,07;138,90;163,60;0,071;;0,020;0,056;;1680;1680;Malus;2370;50717
RENAULT;TRAFIC;TRAFIC;RENAULT;"TRAFIC (149ch)";GAZOLE;MINIBUS;1997;"MOYENNE SUPERIEURE";8;110,000;;1962;0,06;MECANIQUE;6;7,667;9,108;6,543;7,479;5,846;6,710;7,497;8,316;6,817;7,756;;;;;;;201,26;239,12;171,74;196,32;153,44;176,13;196,79;218,31;178,92;203,60;0,040;;0,038;0,045;;2037;2037;Malus;14922;41350
B.M.W.;"SERIE 1";120;AUTRES;120i;ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1390;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1465;1465;Malus;280;41488
B.M.W.;"SERIE X";X2;AUTRES;"X2 sDrive18d";GAZOLE;"TS TERRAINS/CHEMINS";1995;"MOYENNE SUPERIEURE";8;110,000;;1540;0,07;AUTOMATIQUE;8;6,419;7,154;5,155;6,126;4,681;5,321;5,374;6,166;5,255;6,029;;;;;;;168,04;187,30;134,88;160,33;122,44;139,23;140,63;161,40;137,50;157,80;0,165;;0,013;0,058;;1615;1615;Malus;360;45467
B.M.W.;"SERIE 4";420;AUTRES;"420i Gran Coupe";ESSENCE;BERLINE;1998;"MOYENNE SUPERIEURE";10;135,000;;1620;0,08;AUTOMATIQUE;8;9,556;9,999;6,655;7,346;5,638;6,535;6,193;7,342;6,564;7,448;;;;;;;217,23;227,18;151,18;166,78;128,01;148,32;140,66;166,70;149,10;169,10;0,255;0,022;0,014;;;1695;1695;Malus;1504;53833
FORD;FIESTA;FIESTA;FORD;"FIESTA 1.5 Ecoboost (200ch) S&S BVM6";ESSENCE;BERLINE;1496;INFERIEURE;11;147,000;;1187;0,12;MECANIQUE;6;8,139;8,685;5,725;6,421;5,205;5,876;6,432;6,985;6,137;6,755;;;;;;;184,01;196,59;129,14;145,13;117,33;132,75;145,21;157,95;138,50;152,71;0,482;0,017;0,019;;0,001;1262;1309;Malus;898;27390
B.M.W.;"SERIE 2";220;AUTRES;"220i Gran CoupÃ©";ESSENCE;BERLINE;1998;"MOYENNE INFERIEURE";9;131,000;;1430;0,09;AUTOMATIQUE;7;9,169;9,172;6,027;6,825;4,934;5,902;5,446;7,220;5,902;6,993;;;;;;;209,40;209,41;137,55;155,75;112,55;134,66;124,27;164,78;134,70;159,60;0,156;0,017;0,011;;;1505;1505;Malus;450;44133
B.M.W.;"SERIE 4";420;AUTRES;"420i Coupe";ESSENCE;COUPE;1998;"MOYENNE SUPERIEURE";10;135,000;;1525;0,09;AUTOMATIQUE;8;8,764;9,768;6,417;7,301;5,366;6,357;5,926;6,914;6,231;7,201;;;;;;;199,56;222,14;146,04;165,88;122,05;144,35;134,84;157,04;141,80;163,60;0,355;0,027;0,014;;;1600;1600;Malus;983;53100
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC 1.0 TSI (110ch) Traction SUV BVM6 pn de 16'' Ã  17''";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;6;81,000;;1226;0,07;MECANIQUE;6;7,122;7,710;5,301;6,166;4,718;5,552;5,586;6,604;5,465;6,338;;;;;;;161,69;174,95;120,28;139,84;107,02;125,86;126,75;149,80;124,00;143,74;0,216;0,022;0,027;;;1301;1301;Malus;280;29433
B.M.W.;"SERIE 5";520;AUTRES;"520d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;LUXE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,615;7,355;5,537;6,316;4,657;5,352;5,068;6,214;5,243;6,121;;;;;;;173,15;192,54;144,90;165,31;121,84;140,04;132,62;162,63;137,20;160,20;0,100;;0,019;0,048;;1915;1915;Malus;13076;63713
B.M.W.;"SERIE 1";116;AUTRES;116i;ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";6;80,000;;1320;0,06;MECANIQUE;6;7,870;8,349;5,676;6,530;4,824;5,905;5,453;6,998;5,626;6,746;;;;;;;179,70;190,56;129,55;148,97;110,05;134,69;124,43;159,66;128,40;153,90;0,179;0,019;0,011;;;1395;1395;Malus;210;33960
SKODA;KAROQ;KAROQ;VGF;"Karoq 1.5 TSI (150ch) 4*2 DSG7 norme AP freins 16'' Style clB avec Full LED et alt 140A famB";ESSENCE;"TS TERRAINS/CHEMINS";1498;"MOYENNE SUPERIEURE";8;110,000;;1342;0,08;AUTOMATIQUE;7;8,322;8,722;6,226;6,920;5,475;6,092;6,621;7,445;6,414;7,091;;;;;;;189,24;198,35;141,53;157,31;124,43;138,44;150,52;169,26;145,80;161,20;0,172;0,022;0,025;;;1417;1417;Malus;740;37898
VOLKSWAGEN;T-ROC;T-ROC;VGF;"T-ROC 2.0 TDI (150ch) Traction SUV DSG7 pn de 16'' Ã  19''";GAZOLE;"TS TERRAINS/CHEMINS";1968;INFERIEURE;8;110,000;;1380;0,08;AUTOMATIQUE;7;6,481;6,780;4,423;5,185;3,801;4,783;4,582;5,950;4,562;5,545;;;;;;;169,95;177,83;115,97;135,96;99,65;125,42;120,13;156,02;119,60;145,40;0,036;;0,027;0,037;;1455;1455;Malus;75;40975
B.M.W.;"SERIE X";X4;AUTRES;"X4 xDrive20d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";1995;SUPERIEURE;10;140,000;;1840;0,08;AUTOMATIQUE;8;6,778;7,594;5,356;6,429;4,974;5,856;5,902;7,075;5,621;6,637;;;;;;;177,56;198,92;140,23;168,34;130,21;153,32;154,57;185,30;147,20;173,80;0,165;;0,025;0,069;;1915;1915;Malus;13075;62150
B.M.W.;"SERIE 5";530;AUTRES;"530d xDrive Touring";"GAZ+ELEC HNR";BREAK;2993;LUXE;17;210,000;;1925;0,11;AUTOMATIQUE;8;8,420;9,136;5,710;6,483;4,971;5,722;5,380;6,350;5,726;6,555;;;;;;;220,53;239,26;149,49;169,74;130,10;149,77;140,84;166,25;149,90;171,60;0,112;;0,052;0,073;;2000;2000;Malus;13927;72588
B.M.W.;"SERIE X";X4;AUTRES;"X4 xDrive30d";"GAZ+ELEC HNR";"TS TERRAINS/CHEMINS";2993;SUPERIEURE;17;210,000;;1935;0,11;AUTOMATIQUE;8;8,302;9,022;5,807;6,709;5,234;6,164;6,200;7,394;6,102;7,092;;;;;;;217,38;236,29;151,97;175,66;136,94;161,37;162,28;193,62;159,70;185,70;0,131;;0,043;0,060;0,001;2010;2010;Malus;14046;68850
B.M.W.;"SERIE 3";330;AUTRES;"330e Touring";"ELEC+ESSENC HR";BREAK;1998;SUPERIEURE;10;135,000;55,000;1825;0,07;AUTOMATIQUE;8;;;;;;;;;1,355;1,951;160,100;184,000;61,700;51,500;65,100;53,800;;;;;;;;;30,50;43,96;0,323;0,016;0,011;;;1900;1900;"Neutre 0";;60333
B.M.W.;"SERIE 2";218;AUTRES;"218i Gran CoupÃ©";ESSENCE;BERLINE;1499;"MOYENNE INFERIEURE";7;100,000;;1350;0,07;MECANIQUE;6;7,631;8,440;5,556;6,526;4,781;5,964;5,532;7,111;5,585;6,815;;;;;;;174,08;191,97;126,64;148,30;108,93;135,49;126,08;161,64;127,30;154,90;0,291;0,024;0,018;;0,001;1425;1425;Malus;210;38363
B.M.W.;"SERIE 3";320;AUTRES;"320d xDrive Touring";"GAZ+ELEC HNR";BREAK;1995;SUPERIEURE;10;140,000;;1725;0,08;AUTOMATIQUE;8;6,494;7,188;5,084;6,077;4,690;5,371;5,367;6,285;5,251;6,082;;;;;;;170,35;188,54;133,32;159,39;122,97;140,86;140,76;164,85;137,70;159,50;0,049;;0,018;0,043;;1800;1800;Malus;11920;56088
HYUNDAI;TUCSON;TUCSON;HYUNDAI;"TUCSON Hybrid 230 CrÃ©ative/Executive";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1598;"MOYENNE SUPERIEURE";10;132,400;14,700;1564;0,08;AUTOMATIQUE;6;5,676;6,110;4,648;5,004;4,693;5,087;6,635;7,158;5,503;5,941;;;;;;;128,94;138,86;105,53;113,67;106,56;115,57;150,74;162,70;125,00;135,00;0,129;0,011;0,028;;;1639;1639;Malus;11903;40610
PORSCHE;"911 TARGA 4 GTS";911;VGF;"911 TARGA 4 GTS PDK";ESSENCE;CABRIOLET;2981;LUXE;37;353,000;;1685;0,21;AUTOMATIQUE;8;18,444;18,973;10,021;10,988;8,711;9,733;9,447;10,664;10,535;11,549;;;;;;;418,61;430,59;227,35;249,27;197,58;220,77;214,31;241,90;239,00;262,00;0,133;0,012;0,014;;;1760;1760;Malus;40000;171806
FIAT;PANDA;PANDA;STELLANTIS;"PANDA 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;4;51,500;1,370;995;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1070;1070;"Neutre 0";11900;15290
MASERATI;"GRECALE GT";GRECALE;STELLANTIS;"GRECALE GT (300ch+8Kw)";"ESS+ELEC HNR";"TS TERRAINS/CHEMINS";1995;LUXE;19;221,000;8,100;1902;0,12;AUTOMATIQUE;8;13,110;13,286;8,568;9,451;7,370;8,091;8,397;9,050;8,743;9,400;;;;;;;297,04;301,40;194,13;214,15;167,00;183,33;190,27;205,06;198,10;213,00;0,320;0,021;0,035;;;1977;1977;Malus;13744;75450
PORSCHE;"911 TARGA 4S";911;VGF;"911 TARGA 4S";ESSENCE;CABRIOLET;2981;LUXE;34;331,000;;1675;0,20;AUTOMATIQUE;8;18,145;18,475;10,091;10,815;8,613;9,478;8,864;10,561;10,272;11,332;;;;;;;411,74;419,14;228,89;245,26;195,35;214,91;201,03;239,50;233,00;257,00;0,130;0,014;0,013;;;1750;1750;Malus;40000;153576
NISSAN;JUKE;JUKE;NISSAN;"DIG-T (114ch) BVMÂ  VISIA. ACENTA. BUSINESS EDITION";ESSENCE;"TS TERRAINS/CHEMINS";999;INFERIEURE;6;84,000;;1187;0,07;MECANIQUE;6;6,853;7,050;5,409;5,654;4,951;5,265;6,080;6,667;5,698;6,079;;;;;;;155,64;160,12;122,76;128,31;112,33;119,45;138,05;151,39;129,35;138,00;0,276;0,021;0,021;;;1262;1262;Malus;170;26354
FIAT;PANDA;PANDA;STELLANTIS;"PANDA 1.0 BSG (70ch)";"ESS+ELEC HNR";BERLINE;999;INFERIEURE;4;51,500;1,370;992;0,05;MECANIQUE;6;5,548;5,128;4,466;4,780;3,999;4,586;5,018;6,161;4,662;5,256;;;;;;;126,23;116,56;101,53;108,63;90,86;104,18;114,13;140,16;106,00;119,50;0,300;0,028;0,022;;;1067;1067;"Neutre 0";11900;15290
PORSCHE;"PANAMERA 4 E-HYBRID";PANAMERA;VGF;"PANAMERA 4 E-HYBRID";"ELEC+ESSENC HR";BERLINE;2894;LUXE;21;243,000;70,000;2220;0,11;AUTOMATIQUE;8;;;;;;;;;2,200;2,700;234,440;249,100;53,000;45,000;54,000;49,000;;;;;;;;;50,80;62,10;0,314;0,021;0,005;;;2295;2475;"Neutre 0";6750;125222
